x y
808.6430213676958 606.4905102978422
500.4382417982748 793.4813810583242
88.05075290697471 104.4981678751263
811.5434108450503 589.3342568028673
890.2470209018545 296.6961660872363
1300.3819183432388 698.3664065268417
781.7855749157916 595.4708859424136
1501.2660228250006 998.5948324502846
1484.270398839656 994.9954400591295
794.8853121113528 622.9169530098117
1088.045815185334 506.6754234416462
1301.629642041039 700.6359536644392
105.7466248105824 93.71570095287493
1092.532553658532 483.8816894031844
96.08827709833079 80.55583832456594
796.7047742441159 606.668776597761
1299.6530957402156 707.5355571322697
1288.3759823988428 694.3062169956667
1505.2908369437564 979.8706428923102
1496.3230172038845 986.897884182351
899.8369656277237 291.5693278754544
103.73586676216293 88.49027395184748
1502.5565357203927 992.9352083967675
912.6106288622243 291.4513073283997
1306.913352910167 697.3779890460321
887.2578706008425 294.1951965790728
1499.4433526311925 998.8408385001726
804.9430841896128 601.0935252331561
496.3907948204103 801.5127656790564
96.16123593636485 106.56868957685109
516.5296437547164 805.2006015797535
1298.088141973231 698.7388926057685
494.37236408543356 804.3310247322065
501.71515774503456 806.1211744797771
1103.9907172269643 511.10256439481026
799.6666176006839 598.6248329536166
1310.89088153163 699.9262133709525
96.93413191970976 104.08584242642371
897.43978410782 283.40468347471574
1304.2009168541824 684.9618142211323
505.3841201476374 802.6782897415217
1099.271994746661 480.8315969412089
1479.2557143704878 1007.7051768071709
910.1216144263033 267.23661830808254
778.2027032471173 611.6785214546888
893.1343890379948 302.0085913305476
1098.2809595902168 497.24348203602756
514.9150489258861 797.081932612914
1307.0175342762986 698.1012231285274
886.6007542286101 295.4372072638858
1509.5541867514783 990.6470169556927
102.44392871736062 122.66308383618693
491.6313235859121 805.083836942533
1103.3009779022912 494.0462783831611
808.5280924950143 608.1479028652001
1504.4519803063283 1013.3429611870906
893.8484985289329 305.76228028246373
1109.6250809541464 497.2066563380046
1118.3946501904327 509.405988798408
103.47050589956778 95.36314845942924
1105.1020851790686 504.35600924290003
1306.3707197069552 700.9325499922422
499.964165546077 790.7350730898606
106.57209346373897 87.54120287181917
804.9500068204263 585.4154274591414
905.0577074828196 301.0033495671861
1098.9351261694594 502.9148541617731
501.86769881365325 793.7303188893236
116.63101793986866 85.68422962292011
1502.8674401052656 992.7685281231307
